Order ID,Customer ID,Product ID,Date,Original Price,Discount%
OD0045,C045,P0035,2023-02-28,675,0.55
OD0046,C046,P0036,2023-03-07,675,0.55
OD0047,C047,P0037,2021-11-27,675,0.5
OD0048,C048,P0038,2022-04-09,654,0.5
OD0049,C049,P0038,2021-01-01,654,0.5
OD0050,C050,P0038,2021-12-10,654,0.5
OD0051,C051,P0039,2021-01-20,654,0.5
OD0052,C052,P0040,2021-08-13,356,0.3
OD0053,C053,P0041,2021-08-07,2235,0.32
OD0054,C054,P0042,2022-01-17,1125,0.25
OD0055,C055,P0043,2022-09-04,2451,0.45
OD0056,C056,P0044,2022-11-07,2263,0.15
OD0057,C057,P0045,2021-12-04,1365,0.33
OD0058,C058,P0046,2021-06-11,2453,0.42
OD0059,C059,P0047,2022-09-11,1555,0.42
OD0060,C060,P0048,2022-01-03,1234,0.39
OD0061,C061,P0049,2022-03-11,2344,0.39
OD0062,C062,P0050,2023-01-29,2142,0.39
OD0063,C063,P0051,2022-08-08,2612,0.39
OD0064,C064,P0051,2022-02-05,2243,0.3
OD0065,C065,P0051,2021-10-09,333,0.3
OD0066,C066,P0052,2023-01-02,236,0.3
OD0067,C067,P0053,2021-05-27,456,0.25
OD0068,C068,P0054,2021-11-11,963,0.25
OD0069,C069,P0055,2022-10-24,234,0.3
OD0070,C070,P0056,2022-05-02,456,0.3
OD0071,C071,P0057,2022-01-31,564,0.3
OD0072,C072,P0058,2021-05-23,634,0.4
OD0073,C073,P0059,2021-04-02,236,0.4
OD0074,C074,P0060,2022-06-11,444,0.4
OD0075,C075,P0060,2022-08-06,456,0.4
OD0076,C076,P0060,2023-01-16,963,0.4
OD0077,C077,P0060,2022-08-23,456,0.4
OD0078,C078,P0061,2023-01-27,1189,0.45
OD0079,C079,P0062,2021-07-17,1298,0.45
OD0080,C080,P0063,2021-12-20,1456,0.45
OD0081,C081,P0064,2021-11-02,1478,0.47
OD0082,C082,P0065,2022-01-19,256,0.47
OD0083,C083,P0066,2021-10-28,2698,0.46
OD0084,C084,P0067,2022-06-01,2364,0.46
OD0085,C085,P0068,2022-10-27,1236,0.46
OD0086,C086,P0069,2021-06-18,756,0.3
OD0087,C087,P0070,2022-09-02,326,0.3
OD0088,C088,P0071,2021-03-22,453,0.3
OD0089,C089,P0072,2022-07-05,326,0.3
OD0090,C090,P0073,2022-04-22,456,0.3
OD0091,C091,P0074,2021-08-06,675,0.35
OD0092,C092,P0075,2022-08-22,654,0.35
OD0093,C093,P0076,2021-12-26,654,0.35
OD0094,C094,P0077,2021-10-28,654,0.35
OD0095,C095,P0077,2022-12-05,654,0.35
OD0096,C096,P0077,2021-09-01,356,0.35
OD0097,C097,P0077,2023-03-10,686,0.4
OD0098,C098,P0077,2021-07-05,456,0.4
OD0099,C099,P0078,2022-09-07,516,0.15
OD0100,C100,P0079,2023-01-27,355,0.15
OD0101,C001,P0080,2023-03-31,465,0.15
OD0102,C002,P0081,2022-04-05,965,0.35
OD0103,C003,P0082,2021-06-22,1158,0.35
OD0104,C004,P0083,2022-05-29,264,0.35
OD0105,C005,P0084,2022-12-10,433,0.35
OD0106,C006,P0085,2021-03-10,562,0.55
OD0107,C007,P0086,2021-07-03,423,0.55
OD0108,C008,P0087,2021-09-15,621,0.55
OD0109,C009,P0088,2021-06-14,333,0.55
OD0110,C010,P0089,2021-06-04,236,0.5
OD0111,C011,P0090,2022-07-05,456,0.5
OD0112,C012,P0091,2021-02-18,963,0.5
OD0113,C013,P0092,2022-12-11,234,0.5
OD0114,C014,P0093,2022-02-04,456,0.5
OD0115,C015,P0094,2022-02-15,564,0.3
OD0116,C016,P0094,2021-12-20,634,0.32
OD0117,C017,P0094,2022-05-12,236,0.25
OD0118,C018,P0095,2022-08-28,444,0.45
OD0119,C019,P0096,2021-05-04,456,0.15
OD0120,C020,P0097,2022-08-12,963,0.33
OD0121,C021,P0098,2021-03-24,456,0.42
OD0122,C022,P0099,2021-11-11,1189,0.42
OD0123,C023,P0100,2023-03-22,1298,0.39
OD0124,C024,P0101,2022-11-28,1456,0.39
OD0125,C025,P0102,2023-02-05,1478,0.39
OD0126,C026,P0103,2023-02-05,256,0.39
OD0127,C027,P0104,2023-03-22,2698,0.3
OD0128,C028,P0105,2023-01-11,2364,0.3
OD0129,C029,P0106,2022-07-01,1236,0.3
OD0130,C030,P0107,2022-04-12,756,0.25
OD0131,C031,P0108,2021-10-04,326,0.25
OD0132,C032,P0108,2022-02-07,453,0.3
OD0133,C033,P0108,2023-03-14,326,0.3
OD0134,C034,P0108,2021-07-14,456,0.3
OD0135,C035,P0108,2023-03-24,675,0.4
OD0136,C036,P0109,2021-02-05,654,0.4
OD0137,C037,P0110,2022-02-04,654,0.4
OD0138,C038,P0111,2021-01-16,654,0.4
OD0139,C039,P0112,2021-01-18,654,0.4
OD0140,C040,P0113,2022-04-18,356,0.4
OD0141,C041,P0113,2021-10-10,686,0.45
OD0142,C042,P0113,2021-08-02,456,0.45
OD0143,C043,P0114,2021-05-30,516,0.45
OD0144,C044,P0115,2022-02-10,355,0.47
OD0145,C045,P0116,2023-02-28,465,0.47
OD0146,C046,P0117,2021-11-03,965,0.46
OD0147,C047,P0118,2021-08-17,1158,0.46
OD0148,C048,P0119,2021-04-02,264,0.46
OD0149,C049,P0120,2021-02-08,433,0.3
OD0150,C050,P0121,2022-02-17,562,0.3
OD0151,C051,P0122,2021-05-24,423,0.3
OD0152,C052,P0123,2022-11-27,621,0.3
OD0153,C053,P0124,2022-07-20,333,0.3
OD0154,C054,P0125,2022-10-04,236,0.35
OD0155,C055,P0126,2022-02-04,456,0.35
OD0156,C056,P0127,2021-08-17,963,0.35
OD0157,C057,P0128,2021-07-24,234,0.35
OD0158,C058,P0129,2022-05-06,456,0.35
OD0159,C059,P0130,2021-11-08,564,0.35
OD0160,C060,P0131,2023-03-23,634,0.4
OD0161,C061,P0132,2021-08-02,236,0.4
OD0162,C062,P0133,2021-07-15,444,0.15
OD0163,C063,P0134,2023-03-26,456,0.15
OD0164,C064,P0135,2022-07-26,963,0.15
OD0165,C065,P0136,2023-02-24,456,0.35
OD0166,C066,P0137,2022-04-24,1189,0.35
OD0167,C067,P0138,2021-02-01,1298,0.35
OD0168,C068,P0138,2022-02-01,1456,0.35
OD0169,C069,P0138,2022-11-30,1478,0.55
OD0170,C070,P0139,2022-03-16,256,0.55
OD0171,C071,P0140,2022-12-11,2698,0.55
OD0172,C072,P0141,2021-02-13,2364,0.55
OD0173,C073,P0142,2022-03-12,1236,0.5
OD0174,C074,P0143,2021-06-13,756,0.5
OD0175,C075,P0144,2021-01-09,326,0.5
OD0176,C076,P0145,2021-08-11,453,0.5
OD0177,C077,P0146,2023-03-14,326,0.5
OD0178,C078,P0147,2022-10-03,456,0.3
OD0179,C079,P0148,2022-02-10,456,0.32
OD0180,C080,P0149,2021-12-26,456,0.25
OD0181,C081,P0150,2022-06-19,456,0.45
OD0182,C082,P0151,2022-12-04,236,0.15
OD0183,C083,P0152,2022-04-01,996,0.33
OD0184,C084,P0153,2022-09-19,654,0.42
OD0185,C085,P0154,2021-08-21,456,0.42
OD0186,C086,P0155,2021-01-16,785,0.39
OD0187,C087,P0156,2022-09-11,365,0.39
OD0188,C088,P0157,2022-05-13,965,0.39
OD0189,C089,P0158,2021-10-06,444,0.39
OD0190,C090,P0159,2021-07-28,569,0.3
OD0191,C091,P0160,2022-08-01,475,0.3
OD0192,C092,P0161,2022-06-26,598,0.3
OD0193,C093,P0162,2022-05-09,536,0.25
OD0194,C094,P0163,2022-06-13,256,0.25
OD0195,C095,P0164,2022-07-14,456,0.3
OD0196,C096,P0165,2021-04-17,456,0.3
OD0197,C097,P0166,2022-07-11,745,0.3
OD0198,C098,P0167,2022-09-16,356,0.4
OD0199,C099,P0168,2022-01-23,1189,0.4
OD0200,C100,P0168,2022-03-02,426,0.4
OD0201,C001,P0168,2022-05-11,1126,0.4
OD0202,C002,P0168,2022-04-18,1145,0.4
OD0203,C003,P0169,2023-03-01,1235,0.4
OD0204,C004,P0170,2021-02-10,1564,0.45
OD0205,C005,P0171,2021-04-10,654,0.45
OD0206,C006,P0172,2021-05-24,854,0.45
OD0207,C007,P0173,2022-03-10,475,0.47
OD0208,C008,P0174,2022-03-16,349,0.47
OD0209,C009,P0175,2021-12-10,350,0.46
OD0210,C010,P0176,2022-09-12,351,0.46
OD0211,C011,P0177,2021-11-26,352,0.46
OD0212,C012,P0178,2022-05-10,353,0.3
OD0213,C013,P0179,2022-12-09,354,0.3
OD0214,C014,P0180,2022-03-05,355,0.3
OD0215,C015,P0181,2023-03-22,356,0.3
OD0216,C016,P0182,2022-05-13,999,0.3
OD0217,C017,P0183,2021-03-07,555,0.35
OD0218,C018,P0184,2022-06-25,555,0.35
OD0219,C019,P0185,2022-03-26,555,0.35
OD0220,C020,P0186,2022-03-30,555,0.35
OD0221,C021,P0187,2021-06-06,1025,0.35
OD0222,C022,P0188,2022-05-20,1025,0.35
OD0223,C023,P0188,2021-10-10,1025,0.4
OD0224,C024,P0188,2022-08-11,555,0.4
OD0225,C025,P0189,2022-08-01,599,0.15
OD0226,C026,P0190,2021-08-06,555,0.15
OD0227,C027,P0191,2022-03-28,555,0.15
OD0228,C028,P0192,2021-11-14,2245,0.35
OD0229,C029,P0193,2021-09-16,2256,0.35
OD0230,C030,P0194,2023-03-19,2214,0.35
OD0231,C031,P0195,2023-01-10,2145,0.35
OD0232,C032,P0196,2022-12-18,2325,0.55
OD0233,C033,P0197,2022-09-04,2256,0.55
OD0234,C034,P0198,2022-09-19,1425,0.55
OD0235,C035,P0199,2022-08-31,2236,0.55
OD0236,C036,P0200,2021-05-03,2525,0.5
OD0237,C037,P0201,2022-08-25,2145,0.5
OD0238,C038,P0202,2021-02-12,2365,0.5
OD0239,C039,P0203,2022-03-01,1245,0.5
OD0240,C040,P0204,2022-05-20,3245,0.5
OD0241,C041,P0205,2023-01-04,1222,0.3
OD0242,C042,P0206,2021-02-24,2451,0.32
OD0243,C043,P0207,2021-06-29,2256,0.25
OD0244,C044,P0208,2021-02-23,399,0.45
OD0245,C045,P0209,2021-02-23,399,0.15
OD0246,C046,P0210,2022-06-11,399,0.33
OD0247,C047,P0211,2022-11-20,399,0.42
OD0248,C048,P0212,2021-11-13,555,0.42
OD0249,C049,P0213,2021-06-28,555,0.39
OD0250,C050,P0214,2021-06-24,555,0.39
OD0251,C051,P0214,2022-01-12,555,0.39
OD0252,C052,P0214,2023-02-17,675,0.39
OD0253,C053,P0214,2021-06-05,675,0.3
OD0254,C054,P0214,2021-12-20,675,0.3
OD0255,C055,P0215,2022-01-15,654,0.3
OD0256,C056,P0216,2022-10-13,654,0.25
OD0257,C057,P0217,2021-11-11,654,0.25
OD0258,C058,P0218,2022-05-27,654,0.3
OD0259,C059,P0219,2022-11-21,356,0.3
OD0260,C060,P0220,2023-02-17,686,0.3
OD0261,C061,P0221,2022-09-03,456,0.4
OD0262,C062,P0222,2021-03-21,516,0.4
OD0263,C063,P0223,2022-01-26,355,0.4
OD0264,C064,P0224,2022-02-05,465,0.4
OD0265,C065,P0225,2021-11-13,965,0.4
OD0266,C066,P0226,2022-02-15,1158,0.4
OD0267,C067,P0227,2022-09-26,264,0.45
OD0268,C068,P0228,2022-05-25,433,0.45
OD0269,C069,P0229,2021-02-25,562,0.45
OD0270,C070,P0230,2022-02-07,423,0.47
OD0271,C071,P0231,2023-03-23,621,0.47
OD0272,C072,P0232,2021-10-25,333,0.46
OD0273,C073,P0233,2022-10-20,236,0.46
OD0274,C074,P0234,2021-09-06,456,0.46
OD0275,C075,P0235,2022-08-22,963,0.3
OD0276,C076,P0236,2022-03-03,234,0.3
OD0277,C077,P0237,2021-12-28,456,0.3
OD0278,C078,P0238,2021-07-14,564,0.3
OD0279,C079,P0239,2021-05-19,634,0.3
OD0280,C080,P0240,2023-03-12,236,0.35
OD0281,C081,P0241,2022-11-24,444,0.35
OD0282,C082,P0242,2021-06-24,456,0.35
OD0283,C083,P0243,2022-03-26,963,0.35
OD0284,C084,P0244,2021-09-20,456,0.35
OD0285,C085,P0245,2022-08-07,1189,0.35
OD0286,C086,P0245,2023-01-17,1298,0.4
OD0287,C087,P0245,2022-12-29,1456,0.4
OD0288,C088,P0246,2021-10-19,1478,0.15
OD0289,C089,P0247,2022-06-19,256,0.15
OD0290,C090,P0248,2022-07-19,2698,0.15
OD0291,C091,P0249,2021-10-09,2364,0.35
OD0292,C092,P0250,2023-01-03,1236,0.35
OD0293,C093,P0251,2022-10-02,756,0.35
OD0294,C094,P0252,2022-12-17,326,0.35
OD0295,C095,P0253,2021-11-13,453,0.55
OD0296,C096,P0254,2021-10-17,326,0.55
OD0297,C097,P0255,2021-07-31,456,0.55
OD0298,C098,P0256,2021-09-22,675,0.55
OD0299,C099,P0257,2021-10-27,654,0.5
OD0300,C100,P0257,2021-04-30,654,0.5
OD0301,C100,P0257,2023-03-06,654,0.5
OD0302,C100,P0257,2021-11-06,654,0.5
OD0303,C100,P0257,2022-01-06,356,0.5
OD0304,C100,P0257,2022-11-22,686,0.3
OD0305,C100,P0258,2023-02-02,456,0.32
OD0306,C100,P0259,2023-03-30,516,0.25
OD0307,C100,P0260,2021-03-27,355,0.45
OD0308,C099,P0261,2021-05-30,465,0.15
OD0309,C099,P0262,2023-02-17,965,0.33
OD0310,C099,P0263,2021-01-04,1158,0.42
OD0311,C099,P0264,2021-09-22,264,0.42
OD0312,C099,P0265,2021-03-01,433,0.39
OD0313,C099,P0266,2022-08-06,562,0.39
OD0314,C099,P0267,2021-05-04,423,0.39
OD0315,C099,P0268,2022-02-10,621,0.39
OD0316,C001,P0269,2021-05-18,333,0.3
OD0317,C002,P0270,2021-07-12,236,0.3
OD0318,C003,P0271,2022-08-13,456,0.3
OD0319,C004,P0272,2021-07-19,963,0.25
OD0320,C005,P0273,2022-03-30,234,0.25
OD0321,C006,P0274,2022-10-28,456,0.3
OD0322,C007,P0274,2022-10-25,564,0.3
OD0323,C008,P0274,2021-12-09,634,0.3
OD0324,C009,P0274,2021-10-05,236,0.4
OD0325,C010,P0274,2021-01-22,444,0.4
OD0326,C011,P0275,2021-09-09,456,0.4
OD0327,C012,P0276,2023-03-09,963,0.4
OD0328,C013,P0277,2021-10-19,456,0.4
OD0329,C014,P0278,2022-06-12,1189,0.4
OD0330,C015,P0279,2021-04-21,1298,0.45
OD0331,C016,P0280,2022-06-13,1456,0.45
OD0332,C017,P0281,2022-03-26,1478,0.45
OD0333,C018,P0282,2021-09-30,256,0.47
OD0334,C019,P0283,2022-04-01,2698,0.47
OD0335,C020,P0284,2023-03-13,2364,0.46
OD0336,C021,P0285,2022-12-15,1236,0.46
OD0337,C022,P0286,2021-04-08,756,0.46
OD0338,C023,P0287,2022-02-20,326,0.3
OD0339,C024,P0288,2022-03-12,453,0.3
OD0340,C025,P0289,2021-03-29,326,0.3
OD0341,C026,P0290,2022-07-24,456,0.3
OD0342,C027,P0291,2022-02-05,675,0.3
OD0343,C028,P0292,2023-03-27,654,0.35
OD0344,C029,P0292,2022-10-02,654,0.35
OD0345,C030,P0292,2021-11-16,654,0.35
OD0346,C031,P0292,2022-08-05,654,0.35
OD0347,C032,P0293,2021-01-12,356,0.35
OD0348,C033,P0294,2022-09-09,686,0.35
OD0349,C034,P0295,2021-06-26,456,0.4
OD0350,C035,P0296,2022-09-09,516,0.4
OD0351,C036,P0297,2023-01-30,355,0.15
OD0352,C037,P0298,2023-02-21,465,0.15
OD0353,C038,P0299,2022-07-31,965,0.15
OD0354,C039,P0300,2022-09-22,1158,0.35
OD0355,C040,P0301,2022-05-13,264,0.35
OD0356,C041,P0302,2021-07-17,433,0.35
OD0357,C042,P0303,2021-04-04,562,0.35
OD0358,C043,P0304,2022-08-03,423,0.55
OD0359,C044,P0305,2022-07-01,621,0.55
OD0360,C045,P0306,2022-09-07,333,0.55
OD0361,C046,P0307,2022-11-02,236,0.55
OD0362,C047,P0308,2022-07-14,456,0.5
OD0363,C048,P0309,2021-11-30,963,0.5
OD0364,C049,P0310,2023-03-06,234,0.5
OD0365,C050,P0311,2022-08-18,456,0.5
OD0366,C051,P0312,2023-01-11,564,0.5
OD0367,C052,P0313,2023-02-01,634,0.3
OD0368,C053,P0314,2023-02-20,236,0.32
OD0369,C054,P0315,2022-12-27,444,0.25
OD0370,C055,P0316,2022-10-08,456,0.45
OD0371,C056,P0317,2021-12-16,963,0.15
OD0372,C057,P0318,2022-12-23,456,0.33
OD0373,C058,P0319,2022-12-28,1189,0.42
OD0374,C059,P0319,2022-10-23,1298,0.42
OD0375,C060,P0319,2022-03-12,1456,0.39
OD0376,C061,P0319,2021-05-02,1478,0.39
OD0377,C062,P0319,2022-11-16,256,0.39
OD0378,C063,P0319,2022-04-11,2698,0.39
OD0379,C064,P0319,2021-05-01,2364,0.3
OD0380,C065,P0320,2021-12-22,1236,0.3
OD0381,C066,P0321,2021-03-22,756,0.3
OD0382,C067,P0322,2022-06-08,326,0.25
OD0383,C068,P0323,2021-02-18,453,0.25
OD0384,C069,P0324,2021-09-07,326,0.3
OD0385,C070,P0325,2022-08-06,456,0.3
OD0386,C071,P0326,2021-08-21,456,0.3
OD0387,C072,P0327,2022-11-21,456,0.4
OD0388,C073,P0328,2022-11-12,456,0.4
OD0389,C074,P0329,2021-02-10,236,0.4
OD0390,C075,P0330,2021-02-11,996,0.4
OD0391,C076,P0331,2022-05-06,654,0.4
OD0392,C077,P0332,2021-10-15,456,0.4
OD0393,C078,P0333,2023-02-14,785,0.45
OD0394,C079,P0334,2023-01-17,365,0.45
OD0395,C080,P0334,2022-10-01,965,0.45
OD0396,C081,P0334,2021-10-30,444,0.47
OD0397,C082,P0335,2021-02-20,569,0.47
OD0398,C083,P0336,2022-06-29,475,0.46
OD0399,C084,P0337,2022-10-03,598,0.46
OD0400,C085,P0338,2022-09-22,536,0.46
OD0401,C086,P0339,2021-04-15,256,0.3
OD0402,C087,P0340,2021-09-16,456,0.3
OD0403,C088,P0341,2021-10-18,456,0.3
OD0404,C089,P0342,2021-11-08,745,0.3
OD0405,C090,P0343,2021-01-01,356,0.3
OD0406,C091,P0344,2022-04-19,1189,0.35
OD0407,C092,P0345,2021-08-04,426,0.35
OD0408,C093,P0346,2021-01-29,1126,0.35
OD0409,C094,P0347,2021-03-20,1145,0.35
OD0410,C095,P0348,2022-09-13,1235,0.35
OD0411,C096,P0349,2022-08-05,1564,0.35
OD0412,C097,P0350,2021-10-10,654,0.4
OD0413,C098,P0351,2022-01-02,854,0.4
OD0414,C099,P0352,2022-07-27,475,0.15
OD0415,C100,P0353,2021-08-05,349,0.15
OD0416,C001,P0354,2022-09-20,350,0.15
OD0417,C002,P0355,2023-01-18,351,0.35
OD0418,C003,P0356,2022-12-09,352,0.35
OD0419,C004,P0357,2022-01-15,2245,0.35
OD0420,C005,P0358,2022-12-15,2135,0.35
OD0421,C006,P0359,2021-06-08,1245,0.55
OD0422,C007,P0360,2022-02-23,2145,0.55
OD0423,C008,P0361,2021-12-22,2356,0.55
OD0424,C009,P0362,2021-07-01,2235,0.55
OD0425,C010,P0363,2021-04-22,2252,0.5
OD0426,C011,P0364,2023-03-03,2452,0.5
OD0427,C012,P0365,2022-04-11,2263,0.5
OD0428,C013,P0366,2021-08-17,2253,0.5
OD0429,C014,P0367,2022-01-11,1025,0.5
OD0430,C015,P0368,2022-05-08,1025,0.3
OD0431,C016,P0369,2022-08-20,555,0.32
OD0432,C017,P0370,2022-12-06,599,0.25
OD0433,C018,P0371,2022-12-04,555,0.45
OD0434,C019,P0372,2023-01-22,555,0.15
OD0435,C020,P0373,2022-02-04,565,0.33
OD0436,C021,P0374,2021-04-28,555,0.42
OD0437,C022,P0375,2023-03-24,999,0.42
OD0438,C023,P0376,2022-02-09,999,0.39
OD0439,C024,P0377,2022-06-20,999,0.39
OD0440,C025,P0378,2021-07-07,999,0.39
OD0441,C026,P0379,2021-05-12,1119,0.39
OD0442,C027,P0380,2023-01-10,1119,0.3
OD0443,C028,P0381,2021-05-27,1119,0.3
OD0444,C029,P0382,2021-03-31,1119,0.3
OD0445,C030,P0383,2021-10-16,985,0.25
OD0446,C031,P0384,2022-06-30,985,0.25
OD0447,C032,P0385,2021-10-19,985,0.3
OD0448,C033,P0386,2023-02-10,985,0.3
OD0449,C034,P0387,2022-10-16,985,0.3
OD0450,C035,P0388,2022-06-03,369,0.4
OD0451,C036,P0388,2021-07-15,399,0.4
OD0452,C037,P0388,2022-09-01,399,0.4
OD0453,C038,P0388,2022-08-26,399,0.4
OD0454,C039,P0388,2022-11-18,399,0.4
OD0455,C040,P0388,2021-09-18,555,0.4
OD0456,C041,P0388,2021-05-21,555,0.45
OD0457,C042,P0388,2022-06-25,555,0.45
OD0458,C043,P0389,2023-02-09,555,0.45
OD0459,C044,P0390,2021-09-08,675,0.47
OD0460,C045,P0391,2021-04-14,675,0.47
OD0461,C046,P0392,2022-08-20,675,0.46
OD0462,C047,P0393,2022-11-14,654,0.46
OD0463,C048,P0394,2021-06-21,654,0.46
OD0464,C049,P0395,2022-09-24,654,0.3
OD0465,C050,P0396,2022-09-02,654,0.3
OD0466,C051,P0397,2021-11-29,356,0.3
OD0467,C052,P0398,2021-01-20,686,0.3
OD0468,C053,P0399,2021-10-14,456,0.3
OD0469,C054,P0400,2021-10-07,516,0.35
OD0470,C055,P0401,2022-09-27,355,0.35
OD0471,C056,P0402,2021-12-23,465,0.35
OD0472,C057,P0403,2022-02-07,965,0.35
OD0473,C058,P0404,2023-03-28,1158,0.35
OD0474,C059,P0404,2023-03-18,264,0.35
OD0475,C060,P0404,2021-05-13,433,0.4
OD0476,C061,P0404,2022-08-15,562,0.4
OD0477,C062,P0404,2022-12-28,423,0.15
OD0478,C063,P0404,2023-01-05,621,0.15
OD0479,C064,P0405,2021-08-28,333,0.15
OD0480,C065,P0406,2021-06-25,236,0.35
OD0481,C066,P0407,2022-07-22,456,0.35
OD0482,C067,P0408,2022-08-27,963,0.35
OD0483,C068,P0409,2021-06-14,234,0.35
OD0484,C069,P0410,2021-12-24,456,0.55
OD0485,C070,P0411,2022-12-01,564,0.55
OD0486,C071,P0412,2021-05-30,634,0.55
OD0487,C072,P0413,2022-05-18,236,0.55
OD0488,C073,P0414,2022-11-09,444,0.5
OD0489,C074,P0415,2021-10-09,456,0.5
OD0490,C075,P0416,2021-09-05,963,0.5
OD0491,C076,P0417,2022-06-27,456,0.5
OD0492,C077,P0417,2022-12-14,1189,0.5
OD0493,C078,P0417,2023-01-01,1298,0.3
OD0494,C079,P0417,2021-08-12,1456,0.32
OD0495,C080,P0417,2021-10-10,1478,0.25
OD0496,C081,P0417,2021-04-22,256,0.45
OD0497,C082,P0418,2021-05-16,2698,0.15
OD0498,C083,P0419,2022-01-07,2364,0.33
OD0499,C084,P0420,2021-04-22,1236,0.42
OD0500,C085,P0421,2022-01-30,756,0.42
OD0501,C086,P0422,2023-03-02,326,0.39
OD0502,C087,P0423,2021-01-16,453,0.39
OD0503,C088,P0424,2022-09-15,326,0.39
OD0504,C089,P0425,2022-07-17,456,0.39
OD0505,C090,P0426,2021-04-24,675,0.3
OD0506,C091,P0427,2023-01-27,654,0.3
OD0507,C092,P0428,2022-07-05,654,0.3
OD0508,C093,P0429,2021-01-02,654,0.25
OD0509,C094,P0430,2022-05-28,654,0.25
OD0510,C095,P0431,2021-10-10,356,0.3
OD0511,C096,P0432,2022-06-22,686,0.3
OD0512,C097,P0433,2021-02-23,456,0.3
OD0513,C098,P0434,2021-04-12,516,0.4
OD0514,C099,P0434,2022-10-29,355,0.4
OD0515,C100,P0434,2023-02-03,465,0.4
OD0516,C001,P0434,2022-07-25,965,0.4
OD0517,C002,P0434,2021-09-11,1158,0.4
OD0518,C003,P0434,2022-04-27,264,0.4
OD0519,C004,P0434,2022-02-28,433,0.45
OD0520,C005,P0434,2021-01-24,562,0.45
OD0521,C006,P0434,2023-01-28,423,0.45
OD0522,C007,P0434,2021-10-05,621,0.47
OD0523,C008,P0435,2021-05-23,333,0.47
OD0524,C009,P0436,2022-10-01,236,0.46
OD0525,C010,P0437,2021-07-17,456,0.46
OD0526,C011,P0438,2022-02-06,963,0.46
OD0527,C012,P0439,2021-12-20,234,0.3
OD0528,C013,P0440,2021-12-01,456,0.3
OD0529,C014,P0441,2022-05-07,564,0.3
OD0530,C015,P0442,2022-06-24,634,0.3
OD0531,C016,P0443,2021-09-23,236,0.3
OD0532,C017,P0444,2022-03-27,2245,0.35
OD0533,C018,P0445,2022-04-30,2235,0.35
OD0534,C019,P0446,2022-06-19,2145,0.35
OD0535,C020,P0447,2023-02-23,2145,0.35
OD0536,C021,P0448,2022-05-24,2356,0.35
OD0537,C022,P0449,2021-07-14,2245,0.35
OD0538,C023,P0450,2021-01-09,2451,0.4
OD0539,C024,P0451,2022-06-03,2145,0.4
OD0540,C025,P0452,2022-07-25,2245,0.15
OD0541,C026,P0453,2023-03-16,2698,0.15
OD0542,C027,P0454,2022-01-20,1215,0.15
OD0543,C028,P0455,2021-10-26,2245,0.35
OD0544,C029,P0456,2021-12-14,1245,0.35
OD0545,C030,P0457,2022-11-05,3456,0.35
OD0546,C031,P0458,2021-01-23,3654,0.35
OD0547,C032,P0459,2021-01-14,4563,0.55
OD0548,C033,P0460,2022-05-14,3214,0.55
OD0549,C034,P0461,2022-04-20,4123,0.55
OD0550,C035,P0462,2021-10-19,3214,0.55
OD0551,C036,P0462,2022-07-09,654,0.5
